Categoria,Consumo_Agua_Litros,Consumo_Energia_kWh,Custo_Produção,Data_Compra,Data_Receção,Emissao_Gases_CO2e_kg,Fabricante,País_Fabricante,Preço_Unitário,Produto,Produto_ID,Quantidade_Vendida,Região_Fabricante,Indice
Alimentos,0.13,0.68,0.52,2023-01-15 00:00:00,2023-01-25 00:00:00,4.35,TechWorld,Itália,3.99,Água 2,26,5,Nápoles,0.7850753366784864
Alimentos,0.13,0.68,0.52,2023-09-24 01:00:00,2023-10-05 01:00:00,4.35,TechWorld,Itália,3.99,Água 2,26,10,Nápoles,0.7850753366784864
Alimentos,0.36,0.28,0.53,2023-09-25 01:00:00,2023-10-04 01:00:00,7.0,EcoFriendly,França,1.1,Bolachas 1,34,7,Paris,0.6509254211134364
Alimentos,0.36,0.28,0.53,2023-09-08 01:00:00,2023-09-20 01:00:00,7.0,EcoFriendly,França,1.1,Bolachas 1,34,6,Paris,0.6509254211134364
Alimentos,0.45,0.16,0.53,2023-07-27 01:00:00,2023-08-05 01:00:00,8.51,FashionCo,Itália,2.2,Bolachas 2,35,5,Milão,0.5745271666581115
Alimentos,0.47,0.48,0.53,2023-10-26 01:00:00,2023-11-06 00:00:00,8.98,StyleSupplies,Portugal,2.39,Bolachas 1,34,5,Porto,0.5506293797478539
Alimentos,0.47,0.48,0.53,2023-07-05 01:00:00,2023-07-17 01:00:00,8.98,StyleSupplies,Portugal,2.39,Bolachas 1,34,7,Porto,0.5506293797478539
Alimentos,0.47,0.48,0.53,2023-08-17 01:00:00,2023-08-31 01:00:00,8.98,StyleSupplies,Portugal,2.39,Bolachas 1,34,1,Porto,0.5506293797478539
Alimentos,0.4,0.77,0.54,2023-06-20 01:00:00,2023-06-25 01:00:00,4.38,FashionCo,Itália,3.21,Água 3,27,4,Nápoles,0.7829841954644854
Alimentos,0.4,0.77,0.54,2023-05-02 01:00:00,2023-05-06 01:00:00,4.38,FashionCo,Itália,3.21,Água 3,27,8,Nápoles,0.7829841954644854
Alimentos,0.11,0.11,0.54,2023-10-26 01:00:00,2023-10-28 01:00:00,8.64,FashionCo,França,4.26,Chocolate 2,32,2,Paris,0.5686630304740112
Alimentos,0.11,0.11,0.54,2023-01-05 00:00:00,2023-01-18 00:00:00,8.64,FashionCo,França,4.26,Chocolate 2,32,7,Paris,0.5686630304740112
Alimentos,0.11,0.11,0.54,2023-04-04 01:00:00,2023-04-16 01:00:00,8.64,FashionCo,França,4.26,Chocolate 2,32,3,Paris,0.5686630304740112
Alimentos,0.11,0.11,0.54,2023-06-21 01:00:00,2023-06-29 01:00:00,8.64,FashionCo,França,4.26,Chocolate 2,32,1,Paris,0.5686630304740112
Alimentos,0.11,0.11,0.54,2023-04-29 01:00:00,2023-05-14 01:00:00,8.64,FashionCo,França,4.26,Chocolate 2,32,7,Paris,0.5686630304740112
Alimentos,0.34,0.35,0.54,2023-10-18 01:00:00,2023-10-25 01:00:00,1.74,TechWorld,França,2.55,Bolachas 1,34,8,Paris,0.9165958421715663
Alimentos,0.34,0.35,0.54,2023-07-15 01:00:00,2023-07-26 01:00:00,1.74,TechWorld,França,2.55,Bolachas 1,34,3,Paris,0.9165958421715663
Alimentos,0.34,0.35,0.54,2023-09-04 01:00:00,2023-09-14 01:00:00,1.74,TechWorld,França,2.55,Bolachas 1,34,4,Paris,0.9165958421715663
Alimentos,0.34,0.35,0.54,2023-03-31 01:00:00,2023-04-01 01:00:00,1.74,TechWorld,França,2.55,Bolachas 1,34,2,Paris,0.9165958421715663
Alimentos,0.24,0.31,0.55,2023-01-07 00:00:00,2023-01-14 00:00:00,9.86,EcoFriendly,Portugal,1.83,Chocolate 3,33,5,Faro,0.5067106668496968
Alimentos,0.24,0.31,0.55,2023-06-11 01:00:00,2023-06-24 01:00:00,9.86,EcoFriendly,Portugal,1.83,Chocolate 3,33,8,Faro,0.5067106668496968
Alimentos,0.36,0.49,0.55,2023-03-18 00:00:00,2023-03-22 00:00:00,6.26,FashionCo,Espanha,3.72,Bolachas 2,35,3,Sevilha,0.6882202427641555
Alimentos,0.36,0.49,0.55,2023-04-01 01:00:00,2023-04-13 01:00:00,6.26,FashionCo,Espanha,3.72,Bolachas 2,35,4,Sevilha,0.6882202427641555
Alimentos,0.36,0.49,0.55,2023-01-29 00:00:00,2023-02-06 00:00:00,6.26,FashionCo,Espanha,3.72,Bolachas 2,35,7,Sevilha,0.6882202427641555
Alimentos,0.36,0.49,0.55,2023-03-05 00:00:00,2023-03-16 00:00:00,6.26,FashionCo,Espanha,3.72,Bolachas 2,35,6,Sevilha,0.6882202427641555
Alimentos,0.34,0.68,0.55,2023-05-06 01:00:00,2023-05-17 01:00:00,0.38,StyleSupplies,Itália,2.7,Água 2,26,2,Milão,0.985158700436549
Alimentos,0.13,0.39,0.55,2023-08-03 01:00:00,2023-08-06 01:00:00,0.97,StyleSupplies,Portugal,1.0,Água 1,25,7,Porto,0.9558913862411539
Alimentos,0.13,0.39,0.55,2023-04-16 01:00:00,2023-04-19 01:00:00,0.97,StyleSupplies,Portugal,1.0,Água 1,25,9,Porto,0.9558913862411539
Alimentos,0.13,0.39,0.55,2023-03-05 00:00:00,2023-03-07 00:00:00,0.97,StyleSupplies,Portugal,1.0,Água 1,25,3,Porto,0.9558913862411539
Alimentos,0.11,0.15,0.56,2023-04-22 01:00:00,2023-05-06 01:00:00,0.99,FashionCo,França,2.37,Bolachas 2,35,7,Paris,0.9550116352713585
Alimentos,0.17,0.89,0.56,2023-05-15 01:00:00,2023-05-23 01:00:00,3.05,GreenSupplies,Portugal,4.94,Bolachas 2,35,1,Faro,0.8505726653268932
Alimentos,0.17,0.89,0.56,2023-05-11 01:00:00,2023-05-25 01:00:00,3.05,GreenSupplies,Portugal,4.94,Bolachas 2,35,7,Faro,0.8505726653268932
Alimentos,0.18,0.82,0.56,2023-09-18 01:00:00,2023-10-01 01:00:00,2.26,StyleSupplies,França,3.71,Água 3,27,10,Paris,0.890477880145604
Alimentos,0.17,0.76,0.56,2023-10-24 01:00:00,2023-11-04 00:00:00,1.99,TechWorld,Alemanha,3.84,Bolachas 3,36,10,Berlim,0.9041568714526866
Alimentos,0.45,0.4,0.57,2023-03-01 00:00:00,2023-03-10 00:00:00,6.4,EcoFriendly,Alemanha,4.64,Água 1,25,4,Berlim,0.6810026338260328
Alimentos,0.45,0.4,0.57,2023-02-06 00:00:00,2023-02-15 00:00:00,6.4,EcoFriendly,Alemanha,4.64,Água 1,25,10,Berlim,0.6810026338260328
Alimentos,0.24,0.11,0.57,2023-03-14 00:00:00,2023-03-15 00:00:00,2.85,EcoFriendly,Itália,1.79,Bolachas 1,34,10,Milão,0.8608262287215469
Alimentos,0.42,0.29,0.57,2023-09-08 01:00:00,2023-09-11 01:00:00,0.32,EcoFriendly,França,3.97,Água 3,27,7,Paris,0.9881749186678906
Alimentos,0.42,0.29,0.57,2023-07-25 01:00:00,2023-07-26 01:00:00,0.32,EcoFriendly,França,3.97,Água 3,27,1,Paris,0.9881749186678906
Alimentos,0.42,0.29,0.57,2023-02-27 00:00:00,2023-03-10 00:00:00,0.32,EcoFriendly,França,3.97,Água 3,27,2,Paris,0.9881749186678906
Alimentos,0.42,0.29,0.57,2023-02-18 00:00:00,2023-02-22 00:00:00,0.32,EcoFriendly,França,3.97,Água 3,27,10,Paris,0.9881749186678906
Alimentos,0.42,0.29,0.57,2023-02-02 00:00:00,2023-02-08 00:00:00,0.32,EcoFriendly,França,3.97,Água 3,27,4,Paris,0.9881749186678906
Alimentos,0.22,0.71,0.57,2023-09-17 01:00:00,2023-09-22 01:00:00,7.75,FashionCo,Espanha,4.32,Bolachas 3,36,8,Madrid,0.6131661683950316
Alimentos,0.22,0.71,0.57,2023-09-19 01:00:00,2023-09-20 01:00:00,7.75,FashionCo,Espanha,4.32,Bolachas 3,36,6,Madrid,0.6131661683950316
Alimentos,0.22,0.71,0.57,2023-04-09 01:00:00,2023-04-19 01:00:00,7.75,FashionCo,Espanha,4.32,Bolachas 3,36,6,Madrid,0.6131661683950316
Alimentos,0.33,0.84,0.57,2023-04-24 01:00:00,2023-05-06 01:00:00,3.99,GreenSupplies,Portugal,4.14,Água 1,25,3,Coimbra,0.802795422169445
Alimentos,0.17,0.96,0.57,2023-01-03 00:00:00,2023-01-14 00:00:00,0.26,TechWorld,Portugal,2.02,Bolachas 2,35,4,Faro,0.991455450994978
Alimentos,0.17,0.96,0.57,2023-09-09 01:00:00,2023-09-21 01:00:00,0.26,TechWorld,Portugal,2.02,Bolachas 2,35,1,Faro,0.991455450994978
Alimentos,0.33,0.79,0.58,2023-06-11 01:00:00,2023-06-26 01:00:00,3.54,EcoFriendly,Espanha,3.77,Bolachas 3,36,7,Madrid,0.8255414843545792
Alimentos,0.33,0.79,0.58,2023-03-15 00:00:00,2023-03-25 00:00:00,3.54,EcoFriendly,Espanha,3.77,Bolachas 3,36,1,Madrid,0.8255414843545792
Alimentos,0.33,0.79,0.58,2023-01-29 00:00:00,2023-02-13 00:00:00,3.54,EcoFriendly,Espanha,3.77,Bolachas 3,36,10,Madrid,0.8255414843545792
Alimentos,0.12,0.37,0.58,2023-02-04 00:00:00,2023-02-10 00:00:00,4.74,FashionCo,França,2.74,Bolachas 2,35,4,Marselha,0.7655149419415432
Alimentos,0.42,0.26,0.58,2023-02-23 00:00:00,2023-02-25 00:00:00,5.6,GreenSupplies,Portugal,4.01,Chocolate 2,32,1,Lisboa,0.7215195256759409
Alimentos,0.42,0.26,0.58,2023-08-21 01:00:00,2023-09-01 01:00:00,5.6,GreenSupplies,Portugal,4.01,Chocolate 2,32,9,Lisboa,0.7215195256759409
Alimentos,0.35,0.11,0.58,2023-07-25 01:00:00,2023-07-29 01:00:00,4.49,GreenSupplies,Itália,2.83,Bolachas 1,34,8,Roma,0.7777770623591275
Alimentos,0.35,0.11,0.58,2023-06-07 01:00:00,2023-06-15 01:00:00,4.49,GreenSupplies,Itália,2.83,Bolachas 1,34,10,Roma,0.7777770623591275
Alimentos,0.35,0.11,0.58,2023-08-05 01:00:00,2023-08-17 01:00:00,4.49,GreenSupplies,Itália,2.83,Bolachas 1,34,7,Roma,0.7777770623591275
Alimentos,0.35,0.11,0.58,2023-03-08 00:00:00,2023-03-09 00:00:00,4.49,GreenSupplies,Itália,2.83,Bolachas 1,34,7,Roma,0.7777770623591275
Alimentos,0.35,0.11,0.58,2023-02-13 00:00:00,2023-02-14 00:00:00,4.49,GreenSupplies,Itália,2.83,Bolachas 1,34,1,Roma,0.7777770623591275
Alimentos,0.4,0.71,0.58,2023-04-30 01:00:00,2023-05-12 01:00:00,9.26,StyleSupplies,Portugal,2.34,Chocolate 3,33,8,Lisboa,0.5365420963492727
Alimentos,0.4,0.71,0.58,2023-02-27 00:00:00,2023-03-04 00:00:00,9.26,StyleSupplies,Portugal,2.34,Chocolate 3,33,10,Lisboa,0.5365420963492727
Alimentos,0.28,0.69,0.59,2023-02-15 00:00:00,2023-02-20 00:00:00,7.73,FashionCo,Portugal,3.39,Bolachas 1,34,1,Coimbra,0.6140633032605662
Alimentos,0.28,0.69,0.59,2023-01-07 00:00:00,2023-01-16 00:00:00,7.73,FashionCo,Portugal,3.39,Bolachas 1,34,4,Coimbra,0.6140633032605662
Alimentos,0.2,0.65,0.59,2023-03-06 00:00:00,2023-03-20 00:00:00,1.99,FashionCo,Portugal,3.13,Bolachas 1,34,6,Porto,0.9041379672961265
Alimentos,0.24,0.4,0.59,2023-06-25 01:00:00,2023-07-06 01:00:00,1.45,GreenSupplies,Portugal,1.54,Água 2,26,2,Coimbra,0.9314243205730208
Alimentos,0.24,0.4,0.59,2023-01-30 00:00:00,2023-02-11 00:00:00,1.45,GreenSupplies,Portugal,1.54,Água 2,26,2,Coimbra,0.9314243205730208
Alimentos,0.24,0.4,0.59,2023-05-31 01:00:00,2023-06-13 01:00:00,1.45,GreenSupplies,Portugal,1.54,Água 2,26,5,Coimbra,0.9314243205730208
Alimentos,0.24,0.4,0.59,2023-06-17 01:00:00,2023-06-30 01:00:00,1.45,GreenSupplies,Portugal,1.54,Água 2,26,2,Coimbra,0.9314243205730208
Alimentos,0.34,0.44,0.59,2023-10-06 01:00:00,2023-10-14 01:00:00,8.16,StyleSupplies,Espanha,1.98,Bolachas 1,34,1,Madrid,0.5923195969049913
Alimentos,0.39,0.3,0.6,2023-07-19 01:00:00,2023-08-02 01:00:00,4.01,GreenSupplies,França,3.18,Bolachas 3,36,1,Paris,0.8018677653765375
Alimentos,0.19,0.31,0.6,2023-06-20 01:00:00,2023-07-02 01:00:00,2.25,GreenSupplies,Portugal,1.16,Bolachas 2,35,8,Porto,0.8911545027995569
Alimentos,0.24,0.47,0.6,2023-08-07 01:00:00,2023-08-09 01:00:00,3.18,GreenSupplies,Itália,2.81,Água 3,27,6,Roma,0.8440242779582773
Alimentos,0.24,0.47,0.6,2023-08-28 01:00:00,2023-08-31 01:00:00,3.18,GreenSupplies,Itália,2.81,Água 3,27,1,Roma,0.8440242779582773
Alimentos,0.24,0.47,0.6,2023-07-23 01:00:00,2023-07-25 01:00:00,3.18,GreenSupplies,Itália,2.81,Água 3,27,2,Roma,0.8440242779582773
Alimentos,0.24,0.47,0.6,2023-01-12 00:00:00,2023-01-23 00:00:00,3.18,GreenSupplies,Itália,2.81,Água 3,27,7,Roma,0.8440242779582773
Alimentos,0.29,0.84,0.6,2023-07-04 01:00:00,2023-07-16 01:00:00,2.71,StyleSupplies,Espanha,1.78,Bolachas 1,34,7,Barcelona,0.8675222081010502
Alimentos,0.29,0.84,0.6,2023-01-24 00:00:00,2023-01-27 00:00:00,2.71,StyleSupplies,Espanha,1.78,Bolachas 1,34,8,Barcelona,0.8675222081010502
Alimentos,0.29,0.84,0.6,2023-10-19 01:00:00,2023-10-30 00:00:00,2.71,StyleSupplies,Espanha,1.78,Bolachas 1,34,4,Barcelona,0.8675222081010502
Alimentos,0.29,0.84,0.6,2023-10-17 01:00:00,2023-10-18 01:00:00,2.71,StyleSupplies,Espanha,1.78,Bolachas 1,34,10,Barcelona,0.8675222081010502
Alimentos,0.29,0.84,0.6,2023-06-06 01:00:00,2023-06-15 01:00:00,2.71,StyleSupplies,Espanha,1.78,Bolachas 1,34,6,Barcelona,0.8675222081010502
Alimentos,0.38,0.37,0.6,2023-10-15 01:00:00,2023-10-25 01:00:00,4.55,StyleSupplies,Espanha,2.49,Chocolate 3,33,8,Madrid,0.7745888131840892
Alimentos,0.28,0.28,0.6,2023-09-29 01:00:00,2023-09-30 01:00:00,5.89,StyleSupplies,Alemanha,3.1,Água 1,25,7,Munique,0.7071466697443236
Alimentos,0.28,0.28,0.6,2023-02-16 00:00:00,2023-02-18 00:00:00,5.89,StyleSupplies,Alemanha,3.1,Água 1,25,3,Munique,0.7071466697443236
Alimentos,0.12,0.68,0.6,2023-09-23 01:00:00,2023-10-02 01:00:00,1.5,TechWorld,Espanha,3.1,Bolachas 1,34,2,Barcelona,0.9290348109391655
Alimentos,0.12,0.68,0.6,2023-04-19 01:00:00,2023-04-28 01:00:00,1.5,TechWorld,Espanha,3.1,Bolachas 1,34,1,Barcelona,0.9290348109391655
Alimentos,0.12,0.68,0.6,2023-03-29 01:00:00,2023-04-13 01:00:00,1.5,TechWorld,Espanha,3.1,Bolachas 1,34,8,Barcelona,0.9290348109391655
Alimentos,0.46,0.94,0.61,2023-07-25 01:00:00,2023-08-04 01:00:00,4.33,FashionCo,Itália,4.89,Chocolate 2,32,2,Milão,0.7853250819052979
Alimentos,0.21,0.2,0.61,2023-09-21 01:00:00,2023-10-01 01:00:00,2.63,TechWorld,Espanha,4.09,Chocolate 2,32,8,Barcelona,0.8719637597723626
Alimentos,0.14,0.43,0.62,2023-09-28 01:00:00,2023-10-04 01:00:00,6.0,EcoFriendly,Portugal,1.33,Água 2,26,10,Coimbra,0.7018158703131754
Alimentos,0.14,0.43,0.62,2023-02-02 00:00:00,2023-02-06 00:00:00,6.0,EcoFriendly,Portugal,1.33,Água 2,26,6,Coimbra,0.7018158703131754
Alimentos,0.14,0.43,0.62,2023-02-19 00:00:00,2023-02-22 00:00:00,6.0,EcoFriendly,Portugal,1.33,Água 2,26,3,Coimbra,0.7018158703131754
Alimentos,0.47,0.4,0.62,2023-02-19 00:00:00,2023-02-25 00:00:00,6.58,GreenSupplies,Itália,2.77,Bolachas 2,35,1,Nápoles,0.6718715640925534
Alimentos,0.47,0.4,0.62,2023-08-31 01:00:00,2023-09-10 01:00:00,6.58,GreenSupplies,Itália,2.77,Bolachas 2,35,3,Nápoles,0.6718715640925534
Alimentos,0.47,0.4,0.62,2023-05-16 01:00:00,2023-05-20 01:00:00,6.58,GreenSupplies,Itália,2.77,Bolachas 2,35,9,Nápoles,0.6718715640925534
Alimentos,0.4,0.96,0.63,2023-01-15 00:00:00,2023-01-27 00:00:00,5.69,EcoFriendly,Portugal,4.82,Chocolate 1,31,7,Porto,0.7167511793629955
Alimentos,0.4,0.96,0.63,2023-10-27 01:00:00,2023-11-01 00:00:00,5.69,EcoFriendly,Portugal,4.82,Chocolate 1,31,5,Porto,0.7167511793629955
Alimentos,0.42,0.98,0.63,2023-05-13 01:00:00,2023-05-14 01:00:00,4.63,StyleSupplies,Espanha,3.14,Chocolate 1,31,10,Barcelona,0.7702388564726341
Alimentos,0.42,0.98,0.63,2023-07-10 01:00:00,2023-07-12 01:00:00,4.63,StyleSupplies,Espanha,3.14,Chocolate 1,31,7,Barcelona,0.7702388564726341
Alimentos,0.36,0.43,0.63,2023-10-16 01:00:00,2023-10-29 01:00:00,1.86,StyleSupplies,Portugal,2.86,Bolachas 1,34,5,Faro,0.9104650123358115
Alimentos,0.36,0.43,0.63,2023-04-01 01:00:00,2023-04-14 01:00:00,1.86,StyleSupplies,Portugal,2.86,Bolachas 1,34,2,Faro,0.9104650123358115
Alimentos,0.33,0.51,0.63,2023-03-30 01:00:00,2023-04-14 01:00:00,4.62,StyleSupplies,Alemanha,2.76,Água 3,27,7,Munique,0.7711012507731491
Alimentos,0.33,0.51,0.63,2023-06-22 01:00:00,2023-06-25 01:00:00,4.62,StyleSupplies,Alemanha,2.76,Água 3,27,3,Munique,0.7711012507731491
Alimentos,0.41,0.41,0.63,2023-10-12 01:00:00,2023-10-18 01:00:00,8.35,StyleSupplies,Itália,2.41,Água 2,26,4,Roma,0.5825943487347527
Alimentos,0.41,0.41,0.63,2023-10-20 01:00:00,2023-10-27 01:00:00,8.35,StyleSupplies,Itália,2.41,Água 2,26,8,Roma,0.5825943487347527
Alimentos,0.41,0.41,0.63,2023-06-28 01:00:00,2023-07-01 01:00:00,8.35,StyleSupplies,Itália,2.41,Água 2,26,6,Roma,0.5825943487347527
Alimentos,0.14,0.78,0.64,2023-02-20 00:00:00,2023-02-26 00:00:00,2.67,GreenSupplies,Alemanha,4.32,Bolachas 2,35,3,Berlim,0.8698661622899632
Alimentos,0.14,0.78,0.64,2023-01-23 00:00:00,2023-02-06 00:00:00,2.67,GreenSupplies,Alemanha,4.32,Bolachas 2,35,4,Berlim,0.8698661622899632
Alimentos,0.14,0.78,0.64,2023-02-28 00:00:00,2023-03-03 00:00:00,2.67,GreenSupplies,Alemanha,4.32,Bolachas 2,35,1,Berlim,0.8698661622899632
Alimentos,0.16,0.73,0.64,2023-09-19 01:00:00,2023-09-26 01:00:00,0.99,GreenSupplies,Alemanha,1.73,Chocolate 1,31,4,Hamburgo,0.9546932759537392
Alimentos,0.16,0.73,0.64,2023-04-09 01:00:00,2023-04-23 01:00:00,0.99,GreenSupplies,Alemanha,1.73,Chocolate 1,31,8,Hamburgo,0.9546932759537392
Alimentos,0.16,0.73,0.64,2023-09-02 01:00:00,2023-09-05 01:00:00,0.99,GreenSupplies,Alemanha,1.73,Chocolate 1,31,1,Hamburgo,0.9546932759537392
Alimentos,0.35,0.13,0.64,2023-03-11 00:00:00,2023-03-22 00:00:00,8.67,StyleSupplies,Espanha,1.56,Água 1,25,3,Barcelona,0.5666584354648718
Alimentos,0.35,0.13,0.64,2023-03-26 00:00:00,2023-04-03 01:00:00,8.67,StyleSupplies,Espanha,1.56,Água 1,25,2,Barcelona,0.5666584354648718
Alimentos,0.35,0.13,0.64,2023-10-27 01:00:00,2023-10-29 01:00:00,8.67,StyleSupplies,Espanha,1.56,Água 1,25,10,Barcelona,0.5666584354648718
Alimentos,0.35,0.13,0.64,2023-06-02 01:00:00,2023-06-03 01:00:00,8.67,StyleSupplies,Espanha,1.56,Água 1,25,4,Barcelona,0.5666584354648718
Alimentos,0.43,0.42,0.64,2023-07-24 01:00:00,2023-08-03 01:00:00,5.74,StyleSupplies,Espanha,2.9,Chocolate 2,32,9,Barcelona,0.7143686120187919
Alimentos,0.43,0.42,0.64,2023-06-23 01:00:00,2023-06-25 01:00:00,5.74,StyleSupplies,Espanha,2.9,Chocolate 2,32,3,Barcelona,0.7143686120187919
Alimentos,0.43,0.42,0.64,2023-03-02 00:00:00,2023-03-07 00:00:00,5.74,StyleSupplies,Espanha,2.9,Chocolate 2,32,8,Barcelona,0.7143686120187919
Alimentos,0.43,0.42,0.64,2023-06-06 01:00:00,2023-06-20 01:00:00,5.74,StyleSupplies,Espanha,2.9,Chocolate 2,32,4,Barcelona,0.7143686120187919
Alimentos,0.36,0.94,0.65,2023-05-15 01:00:00,2023-05-23 01:00:00,2.79,GreenSupplies,França,2.77,Chocolate 3,33,7,Paris,0.8633036628959272
Alimentos,0.39,0.22,0.66,2023-04-10 01:00:00,2023-04-16 01:00:00,9.73,StyleSupplies,Alemanha,2.82,Bolachas 2,35,8,Munique,0.5130089396202269
Alimentos,0.39,0.22,0.66,2023-05-19 01:00:00,2023-05-29 01:00:00,9.73,StyleSupplies,Alemanha,2.82,Bolachas 2,35,7,Munique,0.5130089396202269
Alimentos,0.39,0.22,0.66,2023-06-25 01:00:00,2023-07-09 01:00:00,9.73,StyleSupplies,Alemanha,2.82,Bolachas 2,35,10,Munique,0.5130089396202269
Alimentos,0.39,0.81,0.66,2023-06-19 01:00:00,2023-06-21 01:00:00,4.46,StyleSupplies,Itália,2.73,Chocolate 2,32,9,Roma,0.7789488401790773
Alimentos,0.39,0.81,0.66,2023-04-06 01:00:00,2023-04-11 01:00:00,4.46,StyleSupplies,Itália,2.73,Chocolate 2,32,1,Roma,0.7789488401790773
Alimentos,0.13,0.25,0.67,2023-02-28 00:00:00,2023-03-13 00:00:00,0.15,FashionCo,Alemanha,1.13,Bolachas 1,34,1,Hamburgo,0.9973581381373076
Alimentos,0.13,0.25,0.67,2023-05-14 01:00:00,2023-05-27 01:00:00,0.15,FashionCo,Alemanha,1.13,Bolachas 1,34,3,Hamburgo,0.9973581381373076
Alimentos,0.13,0.25,0.67,2023-05-08 01:00:00,2023-05-19 01:00:00,0.15,FashionCo,Alemanha,1.13,Bolachas 1,34,1,Hamburgo,0.9973581381373076
Alimentos,0.33,0.45,0.67,2023-02-27 00:00:00,2023-03-03 00:00:00,7.75,FashionCo,Portugal,2.97,Água 1,25,6,Porto,0.6130429900417749
Alimentos,0.33,0.45,0.67,2023-08-22 01:00:00,2023-08-28 01:00:00,7.75,FashionCo,Portugal,2.97,Água 1,25,8,Porto,0.6130429900417749
Alimentos,0.33,0.45,0.67,2023-02-04 00:00:00,2023-02-16 00:00:00,7.75,FashionCo,Portugal,2.97,Água 1,25,1,Porto,0.6130429900417749
Alimentos,0.45,0.84,0.67,2023-01-11 00:00:00,2023-01-26 00:00:00,1.32,GreenSupplies,Portugal,4.17,Bolachas 2,35,2,Coimbra,0.9374029431625082
Alimentos,0.45,0.84,0.67,2023-03-02 00:00:00,2023-03-15 00:00:00,1.32,GreenSupplies,Portugal,4.17,Bolachas 2,35,7,Coimbra,0.9374029431625082
Alimentos,0.45,0.84,0.67,2023-09-12 01:00:00,2023-09-14 01:00:00,1.32,GreenSupplies,Portugal,4.17,Bolachas 2,35,9,Coimbra,0.9374029431625082
Alimentos,0.48,0.4,0.67,2023-07-07 01:00:00,2023-07-14 01:00:00,8.56,TechWorld,Portugal,1.05,Chocolate 2,32,5,Coimbra,0.5718514837712683
Alimentos,0.48,0.4,0.67,2023-04-14 01:00:00,2023-04-15 01:00:00,8.56,TechWorld,Portugal,1.05,Chocolate 2,32,7,Coimbra,0.5718514837712683
Alimentos,0.36,0.43,0.68,2023-01-16 00:00:00,2023-01-23 00:00:00,4.71,EcoFriendly,Alemanha,2.55,Chocolate 3,33,4,Hamburgo,0.7665256183964175
Alimentos,0.36,0.43,0.68,2023-04-24 01:00:00,2023-05-01 01:00:00,4.71,EcoFriendly,Alemanha,2.55,Chocolate 3,33,1,Hamburgo,0.7665256183964175
Alimentos,0.36,0.43,0.68,2023-05-24 01:00:00,2023-06-08 01:00:00,4.71,EcoFriendly,Alemanha,2.55,Chocolate 3,33,5,Hamburgo,0.7665256183964175
Alimentos,0.36,0.43,0.68,2023-07-27 01:00:00,2023-08-05 01:00:00,4.71,EcoFriendly,Alemanha,2.55,Chocolate 3,33,5,Hamburgo,0.7665256183964175
