Unnamed: 0.1;Unnamed: 0;Cliente_ID;Detalhes_Reclamações;Histórico_Reclamações;Frequência_Compra;Género;Idade;Método_Pagamento;País;Preferência_Categoria;Score_Fidelidade;sentimento
43;43;120079;"Demora na resposta; Produto diferente do pedido; Produto chegou danificado";3;Baixa;F;66;Cartão de Crédito;Espanha;Eletrónica;6;0.0
44;44;650847;Demora na resposta;1;Média;M;19;Cartão de Crédito;França;Moda;6;0.0
45;45;819885;"Produto chegou danificado; Produto diferente do pedido; Reembolso não processado; Entrega atrasada; Suporte ao cliente fraco";5;Alta;F;68;Cartão de Crédito;Espanha;Casa;8;-0.075
46;46;888956;"Entrega atrasada; Qualidade abaixo do esperado; Demora na resposta; Reembolso não processado";4;Baixa;F;23;Débito;França;Casa;4;-0.025
47;47;422191;Qualidade abaixo do esperado;1;Baixa;F;70;PayPal;Espanha;Beleza;9;-0.1
48;48;908962;"Demora na resposta; Reembolso não processado; Produto diferente do pedido; Suporte ao cliente fraco; Produto chegou danificado";5;Baixa;F;68;Cartão de Crédito;França;Alimentos;2;-0.075
49;49;786281;"Entrega atrasada; Suporte ao cliente fraco";2;Baixa;M;36;PayPal;Itália;Eletrónica;4;-0.1875
50;50;580446;;0;Alta;M;60;Transferência Bancária;Portugal;Alimentos;2;0.0
51;51;429629;"Produto diferente do pedido; Demora na resposta; Produto chegou danificado";3;Baixa;M;49;Débito;Espanha;Alimentos;5;0.0
52;52;273400;;0;Média;M;37;Transferência Bancária;França;Eletrónica;8;0.0
53;53;604524;"Produto diferente do pedido; Entrega atrasada; Produto chegou danificado; Qualidade abaixo do esperado; Demora na resposta";5;Alta;M;41;Débito;França;Eletrónica;2;-0.02
54;54;618279;"Qualidade abaixo do esperado; Produto chegou danificado; Demora na resposta; Produto diferente do pedido";4;Baixa;F;27;Cartão de Crédito;Espanha;Casa;8;-0.025
55;55;362086;"Entrega atrasada; Suporte ao cliente fraco; Produto chegou danificado; Reembolso não processado";4;Média;F;29;PayPal;Espanha;Eletrónica;1;-0.09375
56;56;188638;Entrega atrasada;1;Alta;F;19;Débito;Itália;Alimentos;7;0.0
57;57;283217;Produto chegou danificado;1;Baixa;F;20;Cartão de Crédito;França;Eletrónica;6;0.0
58;58;914738;Demora na resposta;1;Alta;F;27;Cartão de Crédito;Espanha;Eletrónica;1;0.0
59;59;659424;;0;Baixa;M;23;Cartão de Crédito;França;Casa;7;0.0
60;60;136613;"Reembolso não processado; Produto chegou danificado; Produto diferente do pedido; Suporte ao cliente fraco; Entrega atrasada";5;Baixa;F;20;Débito;Espanha;Eletrónica;8;-0.075
61;61;892506;"Reembolso não processado; Suporte ao cliente fraco; Produto diferente do pedido; Demora na resposta; Produto chegou danificado";5;Baixa;F;35;Débito;Espanha;Casa;3;-0.075
62;62;717771;Produto chegou danificado;1;Média;F;40;Débito;Itália;Moda;5;0.0
63;63;798581;"Entrega atrasada; Suporte ao cliente fraco; Produto diferente do pedido; Reembolso não processado; Produto chegou danificado";5;Baixa;M;64;PayPal;Espanha;Beleza;1;-0.075
64;64;427585;"Demora na resposta; Entrega atrasada";2;Baixa;M;36;Transferência Bancária;França;Eletrónica;1;0.0
65;65;832192;"Suporte ao cliente fraco; Demora na resposta";2;Baixa;M;46;PayPal;Espanha;Casa;5;-0.1875
66;66;457982;;0;Média;F;28;PayPal;França;Moda;10;0.0
67;67;724300;"Qualidade abaixo do esperado; Demora na resposta; Entrega atrasada; Produto diferente do pedido";4;Baixa;F;68;Cartão de Crédito;França;Moda;6;-0.025
68;68;491582;"Entrega atrasada; Produto chegou danificado; Qualidade abaixo do esperado; Produto diferente do pedido";4;Média;M;19;PayPal;França;Beleza;3;-0.025
69;69;950493;"Demora na resposta; Qualidade abaixo do esperado";2;Alta;M;32;Transferência Bancária;França;Alimentos;9;-0.05
70;70;656962;Demora na resposta;1;Média;M;55;Cartão de Crédito;Portugal;Moda;3;0.0
71;71;828647;;0;Média;F;61;Débito;Portugal;Beleza;7;0.0
72;72;258579;;0;Alta;F;42;Transferência Bancária;Espanha;Casa;5;0.0
73;73;156038;"Produto chegou danificado; Produto diferente do pedido; Demora na resposta";3;Baixa;M;40;Débito;França;Moda;8;0.0
74;74;714843;"Produto chegou danificado; Suporte ao cliente fraco; Produto diferente do pedido; Qualidade abaixo do esperado";4;Baixa;F;28;PayPal;Espanha;Moda;6;-0.11875
75;75;456130;"Entrega atrasada; Suporte ao cliente fraco; Qualidade abaixo do esperado; Produto chegou danificado; Demora na resposta";5;Alta;M;40;Transferência Bancária;Espanha;Alimentos;4;-0.095
76;76;756509;"Entrega atrasada; Demora na resposta; Produto chegou danificado";3;Média;F;26;Débito;Itália;Eletrónica;9;0.0
77;77;204899;"Entrega atrasada; Reembolso não processado";2;Média;F;35;Cartão de Crédito;Itália;Eletrónica;10;0.0
78;78;611732;"Entrega atrasada; Demora na resposta; Produto diferente do pedido; Reembolso não processado";4;Alta;F;57;Transferência Bancária;Portugal;Eletrónica;2;0.0
79;79;530375;Demora na resposta;1;Alta;M;19;Débito;Portugal;Beleza;1;0.0
80;80;907135;Reembolso não processado;1;Média;F;54;PayPal;França;Beleza;8;0.0
81;81;732912;"Produto chegou danificado; Produto diferente do pedido; Qualidade abaixo do esperado; Demora na resposta; Entrega atrasada";5;Média;M;57;PayPal;Alemanha;Eletrónica;5;-0.02
82;82;858194;"Suporte ao cliente fraco; Demora na resposta; Entrega atrasada; Reembolso não processado; Produto diferente do pedido";5;Alta;F;43;Cartão de Crédito;França;Beleza;2;-0.075
83;83;624757;"Entrega atrasada; Produto diferente do pedido; Suporte ao cliente fraco";3;Média;M;40;Débito;Portugal;Beleza;2;-0.125
84;84;736744;;0;Baixa;F;37;Débito;Espanha;Casa;6;0.0
85;85;774471;Qualidade abaixo do esperado;1;Alta;F;61;Transferência Bancária;Alemanha;Casa;1;-0.1
86;86;889752;"Reembolso não processado; Qualidade abaixo do esperado; Suporte ao cliente fraco; Produto diferente do pedido; Produto chegou danificado";5;Baixa;M;28;PayPal;França;Alimentos;10;-0.095
87;87;615138;Demora na resposta;1;Baixa;M;68;Débito;Itália;Moda;4;0.0
88;88;329332;"Produto chegou danificado; Entrega atrasada";2;Média;M;38;Débito;Portugal;Eletrónica;1;0.0
89;89;686347;"Suporte ao cliente fraco; Produto diferente do pedido; Demora na resposta; Qualidade abaixo do esperado; Entrega atrasada";5;Baixa;F;49;Débito;Portugal;Beleza;9;-0.095
90;90;597731;"Entrega atrasada; Produto diferente do pedido; Demora na resposta; Reembolso não processado; Suporte ao cliente fraco";5;Média;F;59;Débito;Itália;Alimentos;8;-0.075
91;91;564112;"Qualidade abaixo do esperado; Produto chegou danificado; Reembolso não processado";3;Média;F;22;Cartão de Crédito;Portugal;Casa;6;-0.03333333333333333
92;92;673720;"Qualidade abaixo do esperado; Entrega atrasada";2;Baixa;M;60;Transferência Bancária;França;Beleza;1;-0.05
93;93;237941;"Demora na resposta; Produto chegou danificado; Suporte ao cliente fraco";3;Alta;M;66;Débito;Alemanha;Moda;10;-0.125
94;94;228438;Qualidade abaixo do esperado;1;Média;F;45;PayPal;Itália;Moda;1;-0.1
95;95;986191;"Reembolso não processado; Qualidade abaixo do esperado";2;Baixa;F;43;Débito;Alemanha;Eletrónica;2;-0.05
96;96;787215;Reembolso não processado;1;Baixa;F;42;Débito;Portugal;Moda;5;0.0
97;97;238735;"Suporte ao cliente fraco; Entrega atrasada; Produto diferente do pedido; Qualidade abaixo do esperado";4;Alta;F;70;Transferência Bancária;Portugal;Eletrónica;2;-0.11875
98;98;966387;"Qualidade abaixo do esperado; Demora na resposta; Reembolso não processado; Produto diferente do pedido; Produto chegou danificado";5;Média;F;67;PayPal;França;Eletrónica;9;-0.02
99;99;774502;"Demora na resposta; Reembolso não processado; Entrega atrasada; Qualidade abaixo do esperado; Produto chegou danificado";5;Média;F;40;PayPal;Portugal;Beleza;3;-0.02
100;100;747018;"Qualidade abaixo do esperado; Entrega atrasada";2;Média;F;22;Transferência Bancária;Portugal;Beleza;4;-0.05
101;101;663816;;0;Alta;M;36;Débito;Itália;Beleza;7;0.0
102;102;843824;Demora na resposta;1;Baixa;F;46;Débito;Alemanha;Moda;4;0.0
103;103;699001;Reembolso não processado;1;Média;M;29;Transferência Bancária;França;Casa;5;0.0
104;104;199664;"Produto diferente do pedido; Demora na resposta; Produto chegou danificado; Reembolso não processado; Qualidade abaixo do esperado";5;Média;F;38;Transferência Bancária;Alemanha;Alimentos;5;-0.02
105;105;137847;"Suporte ao cliente fraco; Produto chegou danificado; Produto diferente do pedido; Entrega atrasada";4;Alta;F;39;PayPal;Portugal;Eletrónica;5;-0.09375
106;106;203725;"Reembolso não processado; Produto diferente do pedido";2;Baixa;M;48;Cartão de Crédito;Itália;Alimentos;5;0.0
107;107;718235;;0;Alta;F;23;PayPal;Itália;Alimentos;7;0.0
108;108;477777;"Produto diferente do pedido; Produto chegou danificado; Qualidade abaixo do esperado";3;Média;F;64;Transferência Bancária;Itália;Casa;9;-0.03333333333333333
109;109;237525;"Reembolso não processado; Suporte ao cliente fraco; Qualidade abaixo do esperado; Produto chegou danificado; Entrega atrasada";5;Média;F;18;PayPal;França;Casa;5;-0.095
110;110;454556;;0;Média;M;43;Cartão de Crédito;Portugal;Casa;4;0.0
111;111;615495;Suporte ao cliente fraco;1;Alta;F;59;Cartão de Crédito;Espanha;Alimentos;10;-0.375
112;112;687727;"Produto diferente do pedido; Qualidade abaixo do esperado";2;Alta;M;57;PayPal;Alemanha;Beleza;3;-0.05
113;113;531407;"Demora na resposta; Qualidade abaixo do esperado; Entrega atrasada";3;Média;M;37;Débito;Itália;Beleza;9;-0.03333333333333333
114;114;931570;"Demora na resposta; Produto chegou danificado; Produto diferente do pedido; Qualidade abaixo do esperado";4;Média;M;26;Cartão de Crédito;França;Beleza;1;-0.025
115;115;143872;;0;Baixa;M;45;Cartão de Crédito;Itália;Beleza;4;0.0
116;116;879080;"Demora na resposta; Suporte ao cliente fraco; Reembolso não processado; Produto chegou danificado; Produto diferente do pedido";5;Baixa;F;31;Transferência Bancária;Espanha;Eletrónica;9;-0.075
117;117;655767;"Produto chegou danificado; Produto diferente do pedido; Reembolso não processado; Entrega atrasada; Demora na resposta";5;Média;F;62;Transferência Bancária;Espanha;Alimentos;5;0.0
118;118;480860;Qualidade abaixo do esperado;1;Média;F;44;Transferência Bancária;Alemanha;Alimentos;9;-0.1
119;119;760363;;0;Baixa;M;65;Débito;Itália;Alimentos;9;0.0
120;120;848425;Entrega atrasada;1;Média;M;38;Débito;Alemanha;Casa;6;0.0
121;121;907952;"Reembolso não processado; Produto diferente do pedido; Qualidade abaixo do esperado; Demora na resposta";4;Média;F;40;PayPal;Alemanha;Casa;8;-0.025
122;122;208024;Entrega atrasada;1;Baixa;M;22;Débito;Portugal;Casa;9;0.0
123;123;688899;"Produto diferente do pedido; Entrega atrasada";2;Alta;F;29;Débito;Espanha;Casa;2;0.0
124;124;550742;Qualidade abaixo do esperado;1;Média;F;40;Débito;Alemanha;Moda;8;-0.1
125;125;162209;"Produto diferente do pedido; Qualidade abaixo do esperado; Suporte ao cliente fraco; Reembolso não processado";4;Baixa;F;56;Débito;França;Alimentos;2;-0.11875
126;126;260845;"Reembolso não processado; Suporte ao cliente fraco; Entrega atrasada; Produto diferente do pedido; Demora na resposta";5;Baixa;F;61;PayPal;Itália;Beleza;9;-0.075
127;127;831211;"Entrega atrasada; Produto diferente do pedido; Demora na resposta; Qualidade abaixo do esperado";4;Baixa;M;63;PayPal;Espanha;Eletrónica;6;-0.025
128;128;907818;"Qualidade abaixo do esperado; Demora na resposta; Produto diferente do pedido";3;Média;F;64;Cartão de Crédito;Itália;Moda;10;-0.03333333333333333
129;129;696001;Entrega atrasada;1;Alta;F;54;PayPal;Espanha;Alimentos;6;0.0
130;130;866642;"Produto chegou danificado; Reembolso não processado; Demora na resposta; Produto diferente do pedido; Entrega atrasada";5;Alta;F;67;Cartão de Crédito;Alemanha;Eletrónica;1;0.0
131;131;364170;"Produto diferente do pedido; Qualidade abaixo do esperado; Demora na resposta";3;Baixa;F;54;PayPal;Itália;Casa;3;-0.03333333333333333
132;132;818580;"Entrega atrasada; Reembolso não processado; Produto chegou danificado; Suporte ao cliente fraco; Demora na resposta";5;Baixa;M;23;PayPal;Itália;Eletrónica;9;-0.075
133;133;299762;Demora na resposta;1;Alta;F;62;PayPal;Itália;Moda;1;0.0
134;134;230051;"Reembolso não processado; Qualidade abaixo do esperado; Entrega atrasada; Demora na resposta";4;Média;M;21;Transferência Bancária;Itália;Beleza;9;-0.025
135;135;289020;"Reembolso não processado; Demora na resposta; Suporte ao cliente fraco";3;Alta;M;22;Transferência Bancária;Alemanha;Casa;6;-0.125
136;136;251474;"Reembolso não processado; Entrega atrasada; Produto chegou danificado";3;Média;F;56;PayPal;Portugal;Beleza;8;0.0
137;137;778466;"Suporte ao cliente fraco; Produto chegou danificado; Qualidade abaixo do esperado; Reembolso não processado; Demora na resposta";5;Média;M;58;Cartão de Crédito;Espanha;Eletrónica;5;-0.095
138;138;872448;;0;Alta;M;43;Débito;Itália;Alimentos;5;0.0
139;139;413069;"Reembolso não processado; Demora na resposta";2;Baixa;F;47;Cartão de Crédito;Itália;Eletrónica;8;0.0
140;140;171637;"Reembolso não processado; Suporte ao cliente fraco; Produto diferente do pedido; Qualidade abaixo do esperado; Entrega atrasada";5;Baixa;F;64;PayPal;Alemanha;Alimentos;4;-0.095
141;141;503125;;0;Alta;F;37;Transferência Bancária;Itália;Casa;1;0.0
142;142;379887;"Suporte ao cliente fraco; Demora na resposta; Produto diferente do pedido";3;Média;M;46;Débito;Itália;Alimentos;3;-0.125
143;143;128661;;0;Baixa;M;60;Transferência Bancária;Portugal;Moda;5;0.0
144;144;713791;"Demora na resposta; Entrega atrasada; Reembolso não processado; Produto chegou danificado";4;Alta;M;25;Cartão de Crédito;Espanha;Beleza;1;0.0
145;145;664625;"Produto diferente do pedido; Suporte ao cliente fraco; Demora na resposta";3;Alta;F;50;Cartão de Crédito;Portugal;Casa;9;-0.125
146;146;151928;;0;Baixa;F;29;Transferência Bancária;Espanha;Beleza;10;0.0
147;147;343398;"Entrega atrasada; Suporte ao cliente fraco; Reembolso não processado; Demora na resposta; Produto chegou danificado";5;Alta;F;58;Cartão de Crédito;Portugal;Moda;9;-0.075
148;148;760213;"Produto diferente do pedido; Reembolso não processado; Demora na resposta; Entrega atrasada";4;Baixa;M;60;Débito;Itália;Alimentos;4;0.0
149;149;870158;"Qualidade abaixo do esperado; Produto chegou danificado; Entrega atrasada";3;Baixa;M;48;Transferência Bancária;Alemanha;Beleza;4;-0.03333333333333333
150;150;669699;Reembolso não processado;1;Baixa;F;34;Cartão de Crédito;Portugal;Beleza;9;0.0
151;151;890979;;0;Alta;M;31;Débito;Portugal;Alimentos;3;0.0
152;152;639935;"Reembolso não processado; Produto chegou danificado; Entrega atrasada; Qualidade abaixo do esperado; Suporte ao cliente fraco";5;Média;M;43;PayPal;França;Moda;5;-0.095
153;153;159424;;0;Baixa;M;37;Cartão de Crédito;Portugal;Alimentos;4;0.0
154;154;297701;"Demora na resposta; Entrega atrasada; Produto diferente do pedido; Suporte ao cliente fraco";4;Alta;M;43;Cartão de Crédito;Itália;Eletrónica;9;-0.09375
155;155;181367;;0;Média;M;48;Débito;Alemanha;Moda;6;0.0
156;156;759044;Suporte ao cliente fraco;1;Alta;F;51;Cartão de Crédito;Alemanha;Eletrónica;2;-0.375
157;157;107628;"Entrega atrasada; Produto chegou danificado; Qualidade abaixo do esperado; Reembolso não processado";4;Baixa;F;42;Cartão de Crédito;Alemanha;Beleza;1;-0.025
158;158;934459;"Suporte ao cliente fraco; Produto diferente do pedido; Qualidade abaixo do esperado; Entrega atrasada; Demora na resposta";5;Média;F;53;Débito;Portugal;Beleza;9;-0.095
159;159;861074;"Reembolso não processado; Qualidade abaixo do esperado; Suporte ao cliente fraco; Demora na resposta";4;Média;F;56;Débito;Alemanha;Alimentos;10;-0.11875
160;160;109028;Reembolso não processado;1;Média;F;44;PayPal;França;Moda;6;0.0
161;161;342195;"Demora na resposta; Suporte ao cliente fraco";2;Baixa;F;62;Débito;França;Alimentos;6;-0.1875
162;162;200180;;0;Média;F;34;PayPal;Itália;Beleza;4;0.0
163;163;987529;"Entrega atrasada; Demora na resposta; Qualidade abaixo do esperado";3;Alta;F;53;Débito;Espanha;Alimentos;10;-0.03333333333333333
164;164;767198;"Qualidade abaixo do esperado; Entrega atrasada; Reembolso não processado; Suporte ao cliente fraco; Produto chegou danificado";5;Baixa;M;41;Transferência Bancária;Espanha;Alimentos;9;-0.095
165;165;846227;"Entrega atrasada; Reembolso não processado; Suporte ao cliente fraco; Qualidade abaixo do esperado";4;Baixa;F;36;Cartão de Crédito;França;Beleza;2;-0.11875
166;166;883274;"Qualidade abaixo do esperado; Entrega atrasada; Produto diferente do pedido; Reembolso não processado; Produto chegou danificado";5;Média;M;30;Cartão de Crédito;Itália;Casa;3;-0.02
167;167;937699;"Produto diferente do pedido; Entrega atrasada; Reembolso não processado";3;Alta;M;59;Transferência Bancária;França;Moda;3;0.0
168;168;114537;"Suporte ao cliente fraco; Demora na resposta; Qualidade abaixo do esperado";3;Alta;M;70;PayPal;Espanha;Moda;2;-0.15833333333333333
169;169;361356;"Entrega atrasada; Produto chegou danificado; Reembolso não processado";3;Média;M;57;Cartão de Crédito;Alemanha;Casa;2;0.0
170;170;153909;"Qualidade abaixo do esperado; Demora na resposta; Suporte ao cliente fraco; Entrega atrasada";4;Média;F;64;PayPal;Alemanha;Moda;3;-0.11875
171;171;629410;Suporte ao cliente fraco;1;Baixa;M;20;PayPal;Itália;Beleza;6;-0.375
172;172;242307;"Qualidade abaixo do esperado; Entrega atrasada";2;Alta;F;57;Transferência Bancária;Espanha;Alimentos;2;-0.05
173;173;341805;;0;Alta;M;49;Transferência Bancária;Itália;Eletrónica;8;0.0
174;174;113661;"Produto diferente do pedido; Demora na resposta";2;Média;F;29;Cartão de Crédito;Itália;Beleza;1;0.0
175;175;666824;"Suporte ao cliente fraco; Entrega atrasada; Qualidade abaixo do esperado";3;Alta;F;30;PayPal;Itália;Alimentos;2;-0.15833333333333333
176;176;768899;"Produto chegou danificado; Suporte ao cliente fraco; Reembolso não processado; Demora na resposta";4;Baixa;M;50;Débito;Itália;Beleza;4;-0.09375
177;177;506362;Produto diferente do pedido;1;Alta;M;38;Débito;Alemanha;Moda;4;0.0
178;178;130685;;0;Alta;M;55;Transferência Bancária;Portugal;Moda;2;0.0
179;179;458937;"Produto chegou danificado; Reembolso não processado; Entrega atrasada";3;Alta;M;37;Transferência Bancária;Espanha;Alimentos;10;0.0
180;180;852862;"Reembolso não processado; Qualidade abaixo do esperado; Produto diferente do pedido";3;Baixa;F;35;Débito;França;Eletrónica;1;-0.03333333333333333
181;181;244853;"Suporte ao cliente fraco; Entrega atrasada; Reembolso não processado; Demora na resposta; Qualidade abaixo do esperado";5;Alta;M;45;Transferência Bancária;Alemanha;Beleza;8;-0.095
182;182;166880;"Produto diferente do pedido; Suporte ao cliente fraco; Reembolso não processado";3;Alta;F;21;Débito;França;Alimentos;7;-0.125
183;183;856123;"Demora na resposta; Qualidade abaixo do esperado";2;Média;F;24;Débito;Espanha;Alimentos;9;-0.05
184;184;721870;;0;Baixa;F;56;Débito;França;Moda;6;0.0
185;185;475300;;0;Média;F;39;Débito;Portugal;Eletrónica;6;0.0
186;186;419411;"Reembolso não processado; Demora na resposta; Suporte ao cliente fraco; Produto chegou danificado; Produto diferente do pedido";5;Baixa;F;41;Transferência Bancária;França;Casa;9;-0.075
187;187;167081;Suporte ao cliente fraco;1;Alta;F;57;Transferência Bancária;Portugal;Eletrónica;10;-0.375
188;188;918245;"Qualidade abaixo do esperado; Entrega atrasada";2;Alta;F;52;Débito;Espanha;Casa;2;-0.05
189;189;654272;"Produto diferente do pedido; Demora na resposta; Entrega atrasada; Qualidade abaixo do esperado";4;Baixa;F;26;PayPal;Espanha;Moda;10;-0.025
190;190;535703;"Entrega atrasada; Produto diferente do pedido; Suporte ao cliente fraco";3;Alta;M;30;PayPal;Espanha;Moda;3;-0.125
191;191;838648;"Suporte ao cliente fraco; Produto diferente do pedido; Produto chegou danificado; Qualidade abaixo do esperado";4;Alta;F;22;Transferência Bancária;França;Moda;10;-0.11875
192;192;145762;Produto chegou danificado;1;Alta;F;36;PayPal;Alemanha;Casa;9;0.0
193;193;390965;Reembolso não processado;1;Baixa;M;22;Cartão de Crédito;França;Eletrónica;6;0.0
194;194;845106;"Produto chegou danificado; Demora na resposta; Produto diferente do pedido; Qualidade abaixo do esperado; Reembolso não processado";5;Alta;M;46;Transferência Bancária;Alemanha;Eletrónica;4;-0.02
195;195;871573;"Suporte ao cliente fraco; Reembolso não processado; Qualidade abaixo do esperado; Produto chegou danificado; Entrega atrasada";5;Média;F;24;Débito;Espanha;Eletrónica;3;-0.095
196;196;181046;"Qualidade abaixo do esperado; Demora na resposta";2;Alta;F;28;Cartão de Crédito;França;Moda;5;-0.05
197;197;605571;"Produto chegou danificado; Demora na resposta; Qualidade abaixo do esperado";3;Baixa;M;62;Cartão de Crédito;Itália;Eletrónica;3;-0.03333333333333333
198;198;789078;;0;Baixa;M;46;Cartão de Crédito;Itália;Eletrónica;4;0.0
199;199;642676;"Suporte ao cliente fraco; Reembolso não processado; Entrega atrasada";3;Média;F;43;PayPal;França;Beleza;6;-0.125
200;200;279349;;0;Baixa;F;67;Cartão de Crédito;França;Eletrónica;2;0.0
201;201;591585;"Entrega atrasada; Produto chegou danificado; Suporte ao cliente fraco";3;Média;M;26;Transferência Bancária;França;Beleza;4;-0.125
202;202;570315;"Entrega atrasada; Produto diferente do pedido; Produto chegou danificado; Demora na resposta";4;Alta;M;62;Transferência Bancária;Portugal;Casa;9;0.0
